id,name,host_id,neighbourhood_cleansed,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
35445340,1-Beautiful double room apartment in Schöneberg,265635773,Schöneberg-Nord,52.49581,13.34928,Entire home/apt,65.0,92,1,2021-10-01,0.03,308
44453937,Studio nahe Hauptbahnhof exkl. für Geschäftsleute,4023263,Moabit Ost,52.53145,13.36086,Private room,35.0,93,3,2023-11-01,0.1,213
1072585204593781257,4 Zimmer-Apartment am Kurfürstendamm City Center,54039179,Neue Kantstraße,52.50102058129975,13.304937157069734,Entire home/apt,243.0,2,5,2024-12-01,0.61,86
53332699,Schöne helle Wohnung in Berlin-Neukölln,8103468,Neuköllner Mitte/Zentrum,52.47322,13.43078,Entire home/apt,86.0,3,9,2024-06-03,0.3,124
41330790,Cozy 1 room apartment with modern interior,271235180,Prenzlauer Berg Nordwest,52.5483,13.41064,Entire home/apt,59.0,92,0,,0.0,203
822243581522669636,Schoenhouse City Street | 1-BR Suite +Balcony (LT),418270816,Prenzlauer Berg Südwest,52.5299,13.409662,Entire home/apt,79.0,28,0,,0.0,357
912184631493246609,"Blueground | Prenzlauer Berg, nr Wasserturm",434485440,Prenzlauer Berg Süd,52.5347581,13.4258536,Entire home/apt,177.0,90,0,,0.0,264
997675581097970644,Supreme room with en suite bath,427709,Alexanderplatz,52.52431934741739,13.389444026629286,Private room,64.0,92,0,,0.0,364
18846314,Welcome!,123430047,Tempelhofer Vorstadt,52.49414,13.41851,Entire home/apt,200.0,3,20,2024-11-01,0.22,76
4861617,Zimmer im Gräfekiez 22m²,23693478,Tempelhofer Vorstadt,52.49075,13.41943,Private room,50.0,92,29,2016-07-05,0.24,354
693875439205002933,Berlin Flower's | Suite L with sofa bed,418270816,Alexanderplatz,52.52713,13.407718,Entire home/apt,133.0,1,10,2024-11-21,0.45,302
638929182228409025,colorful apartment near vibrant Boxhagener Platz,9431809,Frankfurter Allee Süd FK,52.50779,13.46144,Entire home/apt,122.0,4,113,2024-12-05,3.98,134
29021563,Kategorki 2A,42671030,Brunnenstr. Süd,52.530643463134766,13.40178394317627,Entire home/apt,402.0,1,11,2023-07-02,0.15,365
